date	splunk	qlikview	python	hadoop
20100101	0	0	0	0
20110101	0	0.01	0.03	0
20120101	0	0	0.007	0.007
20130101	0.001	0.035	0.025	0.015
20140101	0.013	0.034	0.062	0.045
20150101	0.045	0.063	0.079	0.112
